"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"/Users/sebastianwebster/GitHub/social-media-platform/.github/ISSUE_TEMPLATE/bug-report.md", "Markdown", 0, 0, 22, 0, 8, 30
"/Users/sebastianwebster/GitHub/social-media-platform/App.js", "JavaScript", 413, 0, 0, 55, 32, 500
"/Users/sebastianwebster/GitHub/social-media-platform/app.json", "JSON", 0, 0, 0, 16, 0, 16
"/Users/sebastianwebster/GitHub/social-media-platform/babel.config.js", "JavaScript", 1, 0, 0, 0, -1, 0
"/Users/sebastianwebster/GitHub/social-media-platform/components/BadgeEarntNotificationContext.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/sebastianwebster/GitHub/social-media-platform/components/Posts.js", "JavaScript", 787, 0, 0, 31, 82, 900
"/Users/sebastianwebster/GitHub/social-media-platform/components/ServerUrlContext.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/sebastianwebster/GitHub/social-media-platform/components/conversationOnlineHandler.js", "JavaScript", 2, 0, 0, 1, 1, 4
"/Users/sebastianwebster/GitHub/social-media-platform/components/reconnectPrompt.js", "JavaScript", 2, 0, 0, 1, 1, 4
"/Users/sebastianwebster/GitHub/social-media-platform/components/socketHandler.js", "JavaScript", 2, 0, 0, 1, 1, 4
"/Users/sebastianwebster/GitHub/social-media-platform/navigation/ChatScreenStackNavigator.js", "JavaScript", 37, 0, 0, 0, 4, 41
"/Users/sebastianwebster/GitHub/social-media-platform/navigation/StackNavigator.js", "JavaScript", 15, 0, 0, 0, -2, 13
"/Users/sebastianwebster/GitHub/social-media-platform/navigation/Start_Stack.js", "JavaScript", 8, 0, 0, 0, 0, 8
"/Users/sebastianwebster/GitHub/social-media-platform/navigation/tabs.js", "JavaScript", -3, 0, 0, 0, 0, -3
"/Users/sebastianwebster/GitHub/social-media-platform/package-lock.json", "JSON", 0, 881, 0, 0, 0, 881
"/Users/sebastianwebster/GitHub/social-media-platform/package.json", "JSON", 0, 20, 0, 0, 0, 20
"/Users/sebastianwebster/GitHub/social-media-platform/screens/AccountBadges.js", "JavaScript", 65, 0, 0, 6, 0, 71
"/Users/sebastianwebster/GitHub/social-media-platform/screens/AccountSettings.js", "JavaScript", 29, 0, 0, 0, 1, 30
"/Users/sebastianwebster/GitHub/social-media-platform/screens/AdvancedSettingsScreen.js", "JavaScript", 60, 0, 0, 3, 10, 73
"/Users/sebastianwebster/GitHub/social-media-platform/screens/AdvancedSettingsScreens/SwitchServerScreen.js", "JavaScript", 152, 0, 0, 3, 18, 173
"/Users/sebastianwebster/GitHub/social-media-platform/screens/AppStyling.js", "JavaScript", -24, 0, 0, 0, 0, -24
"/Users/sebastianwebster/GitHub/social-media-platform/screens/BadgeInfo.js", "JavaScript", 98, 0, 0, 0, 4, 102
